ZONE,X_COORD,Y_COORD,Z_COORD,AREA_TYPE,NOTES
64,677336.3,3362385.2,0,8,0
65,672579.7,3360801.8,0,8,0
66,676851.6,3359593.4,0,8,0
67,678677.9,3360289.7,0,8,0
68,679818.7,3361022.8,0,8,0
69,679848,3361985.7,0,8,0
70,679226.6,3362958.1,0,8,0
71,680418.1,3362965.4,0,8,0
72,680588.1,3364509.9,0,8,0
73,681194.2,3365082.6,0,8,0
74,681198.3,3365949.5,0,8,0
75,681955.5,3366255.5,0,8,0
76,681291.6,3367236.2,0,8,0
77,680275.1,3368151.9,0,8,0
78,680634.3,3369043.1,0,8,0
79,680562.2,3369968.3,0,8,0
80,680488.9,3370845.8,0,8,0
81,680090.1,3371889.9,0,8,0
82,681083.9,3372086.9,0,8,0
83,681826.5,3371046.8,0,8,0
84,681773.9,3369872.7,0,8,0
85,682717.4,3369884.2,0,8,0
86,682019.2,3368696.4,0,8,0
87,682853.8,3368612.8,0,8,0
88,683476.1,3368760.7,0,8,0
89,682677.1,3367532.6,0,8,0
90,683941.9,3367433.9,0,8,0
91,684847.8,3366384.6,0,8,0
92,683361.2,3365624.3,0,8,0
93,682762.8,3364370,0,8,0
94,682483,3363372.6,0,8,0
95,681858.2,3363208.2,0,8,0
96,681619.7,3361642.6,0,8,0
97,682155.9,3359669.1,0,8,0
98,680291.3,3359226.3,0,8,0
99,682463.1,3360672.6,0,8,0
100,683717.8,3359999.8,0,8,0
101,683019.5,3361219.8,0,8,0
102,684185.7,3360977.8,0,8,0
103,684095.3,3362192.6,0,8,0
104,684596.7,3363087.2,0,8,0
105,685305.4,3364541.6,0,8,0
106,687113.9,3363674.8,0,8,0
107,687215.4,3362508.1,0,8,0
108,686584.6,3361762.6,0,8,0
109,686204.3,3361088.1,0,8,0
110,685626.5,3359933.8,0,8,0
111,683228,3356979.3,0,8,0
112,686977.1,3358390.8,0,8,0
113,689568.1,3357508.9,0,8,0
114,688132.2,3359355.2,0,8,0
115,688017.5,3360365.9,0,8,0
116,689282.7,3360715.1,0,8,0
117,691233.4,3358819.4,0,8,0
118,692661.2,3359555.4,0,8,0
119,689639.8,3362159.3,0,8,0
120,687801.4,3365068.2,0,8,0
121,686464.9,3365788.1,0,8,0
122,685373.2,3367175.5,0,8,0
123,685071.7,3367933.7,0,8,0
124,684310.5,3368911.2,0,8,0
125,683676,3370142.3,0,8,0
126,683188.6,3371631,0,8,0
127,682169.5,3372118.6,0,8,0
128,684537.6,3371813.4,0,8,0
129,684748.8,3370186.6,0,8,0
