NODE,X_COORD,Y_COORD,Z_COORD,SUBAREA,NOTES
48,759933.8,3312581.0,0.0,0,Network Node
49,759668.1,3318774.8,0.0,0,Network Node
50,759907.3,3318743.4,0.0,0,Network Node
51,759906.3,3318776.5,0.0,0,Network Node
52,759588.7,3318816.4,0.0,0,Network Node
53,759656.2,3320010.0,0.0,0,Network Node
54,759887.2,3320234.3,0.0,0,Network Node
55,760073.9,3312593.5,0.0,0,Network Node
56,759752.3,3312609.6,0.0,0,Network Node
57,759821.9,3320211.1,0.0,0,Network Node
58,759591.8,3319986.1,0.0,0,Network Node
59,763659.5,3323086.6,0.0,0,Network Node
60,763308.0,3323882.6,0.0,0,Network Node
61,764381.0,3323160.0,0.0,0,Network Node
62,764637.8,3324290.9,0.0,0,Network Node
63,766258.0,3323565.0,0.0,0,Network Node
64,766262.9,3323768.5,0.0,0,Network Node
65,767902.4,3323418.6,0.0,0,Network Node
66,767778.0,3323790.3,0.0,0,Network Node
67,770400.8,3323315.2,0.0,0,Network Node
68,770301.0,3323630.5,0.0,0,Network Node
69,771306.0,3323566.2,0.0,0,Network Node
70,771235.0,3323913.9,0.0,0,Network Node
71,766219.9,3323771.4,0.0,0,Network Node
72,766212.4,3323565.6,0.0,0,Network Node
73,767749.9,3323786.9,0.0,0,Network Node
74,767875.3,3323417.9,0.0,0,Network Node
75,768845.3,3324035.4,0.0,0,Network Node
76,769059.9,3323355.5,0.0,0,Network Node
77,771182.4,3323912.6,0.0,0,Network Node
78,771220.0,3323738.9,0.0,0,Network Node
79,753419.3,3311149.7,0.0,0,Network Node
80,753722.3,3311258.7,0.0,0,Network Node
81,753332.1,3315013.8,0.0,0,Network Node
82,753468.0,3315305.6,0.0,0,Network Node
83,753551.8,3311219.5,0.0,0,Network Node
84,753251.3,3311103.8,0.0,0,Network Node
85,753574.3,3315625.4,0.0,0,Network Node
86,753438.9,3315333.3,0.0,0,Network Node
87,753739.7,3315889.3,0.0,0,Network Node
88,753878.7,3316183.7,0.0,0,Network Node
89,753883.2,3315832.9,0.0,0,Network Node
90,753992.2,3316195.1,0.0,0,Network Node
91,753828.2,3316172.4,0.0,0,Network Node
92,753709.8,3315917.3,0.0,0,Network Node
93,753904.5,3316142.1,0.0,0,Network Node
94,750345.5,3311225.7,0.0,0,Network Node
95,750440.2,3311089.5,0.0,0,Network Node
96,750323.5,3311917.1,0.0,0,Network Node
97,750441.6,3312214.6,0.0,0,Network Node
98,749528.0,3312797.9,0.0,0,Network Node
99,749733.4,3312316.4,0.0,0,Network Node
100,750893.6,3310418.4,0.0,0,Network Node
101,750640.8,3309695.8,0.0,0,Network Node
102,750462.1,3311172.9,0.0,0,Network Node
103,750212.8,3311977.4,0.0,0,Network Node
104,750382.3,3311384.5,0.0,0,Network Node
105,750309.4,3311599.4,0.0,0,Network Node
106,750651.8,3312453.1,0.0,0,Network Node
107,750488.5,3312413.3,0.0,0,Network Node
108,750306.4,3312152.3,0.0,0,Network Node
109,750744.1,3312608.7,0.0,0,Network Node
110,752199.1,3313571.9,0.0,0,Network Node
111,750025.3,3312360.1,0.0,0,Network Node
112,750231.2,3311524.9,0.0,0,Network Node
113,750215.0,3311844.8,0.0,0,Network Node
114,749718.2,3312523.0,0.0,0,Network Node
115,749274.3,3313385.8,0.0,0,Network Node
116,749293.0,3313258.3,0.0,0,Network Node
117,751032.1,3310394.6,0.0,0,Network Node
118,750826.3,3310642.2,0.0,0,Network Node
119,751946.1,3310508.6,0.0,0,Network Node
120,752226.2,3310664.9,0.0,0,Network Node
121,750719.3,3310689.0,0.0,0,Network Node
122,752209.4,3310686.0,0.0,0,Network Node
123,751819.6,3310401.1,0.0,0,Network Node
124,752516.7,3310804.6,0.0,0,Network Node
125,751125.8,3309852.8,0.0,0,Network Node
126,751585.4,3310138.7,0.0,0,Network Node
127,751577.6,3310157.0,0.0,0,Network Node
128,751120.6,3309869.9,0.0,0,Network Node
129,751297.8,3310226.4,0.0,0,Network Node
130,751008.4,3310189.1,0.0,0,Network Node
131,751507.2,3310210.2,0.0,0,Network Node
132,751727.0,3310273.6,0.0,0,Network Node
133,751594.3,3310171.8,0.0,0,Network Node
134,750643.0,3310906.6,0.0,0,Network Node
135,750535.2,3310953.2,0.0,0,Network Node
136,752524.7,3310785.6,0.0,0,Network Node
137,752822.6,3310907.8,0.0,0,Network Node
138,752952.7,3310983.3,0.0,0,Network Node
139,752654.7,3310861.4,0.0,0,Network Node
140,753120.5,3311030.0,0.0,0,Network Node
141,751780.3,3313211.3,0.0,0,Network Node
142,752051.0,3313385.7,0.0,0,Network Node
143,752008.0,3313446.6,0.0,0,Network Node
144,751816.7,3313321.3,0.0,0,Network Node
145,752853.3,3314040.3,0.0,0,Network Node
146,753013.5,3314318.9,0.0,0,Network Node
147,753248.1,3314276.0,0.0,0,Network Node
148,753415.7,3314697.5,0.0,0,Network Node
149,753032.5,3314457.3,0.0,0,Network Node
150,752904.4,3314202.3,0.0,0,Network Node
151,753325.1,3314537.5,0.0,0,Network Node
152,752462.9,3313739.0,0.0,0,Network Node
153,751072.6,3312755.2,0.0,0,Network Node
154,751239.0,3312862.4,0.0,0,Network Node
155,751275.7,3312972.0,0.0,0,Network Node
156,751009.6,3312791.0,0.0,0,Network Node
157,750906.2,3312647.9,0.0,0,Network Node
158,751509.6,3313036.8,0.0,0,Network Node
159,751546.7,3313145.9,0.0,0,Network Node
160,752592.2,3313734.5,0.0,0,Network Node
161,752729.0,3313882.0,0.0,0,Network Node
162,752705.6,3313949.7,0.0,0,Network Node
