PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
115,144,0,160.9,LOT,0,Parking Lot
116,144,1,161.0,LOT,0,Parking Lot
117,145,0,160.9,LOT,0,Parking Lot
118,145,1,161.0,LOT,0,Parking Lot
119,148,0,160.9,LOT,0,Parking Lot
120,148,1,161.0,LOT,0,Parking Lot
121,149,0,161.0,LOT,0,Parking Lot
122,149,1,161.1,LOT,0,Parking Lot
123,150,0,180.5,LOT,0,Parking Lot
124,150,1,180.5,LOT,0,Parking Lot
125,151,0,184.6,LOT,0,Parking Lot
126,151,1,184.6,LOT,0,Parking Lot
127,154,0,211.5,LOT,0,Parking Lot
128,154,1,211.6,LOT,0,Parking Lot
129,160,0,200.3,LOT,0,Parking Lot
130,160,1,200.3,LOT,0,Parking Lot
131,161,0,161.0,LOT,0,Parking Lot
132,161,1,161.0,LOT,0,Parking Lot
133,162,0,161.0,LOT,0,Parking Lot
134,162,1,161.1,LOT,0,Parking Lot
135,163,0,161.0,LOT,0,Parking Lot
136,163,1,161.0,LOT,0,Parking Lot
137,164,0,161.0,LOT,0,Parking Lot
138,164,1,161.1,LOT,0,Parking Lot
139,165,0,160.9,LOT,0,Parking Lot
140,165,1,161.0,LOT,0,Parking Lot
141,166,0,161.0,LOT,0,Parking Lot
142,166,1,161.1,LOT,0,Parking Lot
143,167,0,248.9,LOT,0,Parking Lot
144,167,1,249.0,LOT,0,Parking Lot
145,168,0,161.0,LOT,0,Parking Lot
146,168,1,161.0,LOT,0,Parking Lot
147,169,0,161.0,LOT,0,Parking Lot
148,169,1,161.0,LOT,0,Parking Lot
149,170,0,161.0,LOT,0,Parking Lot
150,170,1,161.0,LOT,0,Parking Lot
151,171,0,161.0,LOT,0,Parking Lot
152,171,1,161.0,LOT,0,Parking Lot
153,172,0,161.0,LOT,0,Parking Lot
154,172,1,161.1,LOT,0,Parking Lot
155,206,0,381.2,LOT,0,Parking Lot
156,206,1,1143.6,LOT,0,Parking Lot
157,206,0,762.4,LOT,0,Parking Lot
158,206,1,762.4,LOT,0,Parking Lot
159,206,0,1143.6,LOT,0,Parking Lot
160,206,1,381.2,LOT,0,Parking Lot
161,208,0,461.0,LOT,0,Parking Lot
162,208,1,1383.1,LOT,0,Parking Lot
163,208,0,922.0,LOT,0,Parking Lot
164,208,1,922.1,LOT,0,Parking Lot
165,208,0,1383.1,LOT,0,Parking Lot
166,208,1,461.0,LOT,0,Parking Lot
167,212,0,305.2,LOT,0,Parking Lot
168,212,1,305.2,LOT,0,Parking Lot
169,214,0,311.9,LOT,0,Parking Lot
170,214,1,311.9,LOT,0,Parking Lot
171,244,0,160.9,LOT,0,Parking Lot
172,244,1,161.0,LOT,0,Parking Lot
173,245,0,518.0,LOT,0,Parking Lot
174,245,1,1553.9,LOT,0,Parking Lot
175,245,0,1035.9,LOT,0,Parking Lot
176,245,1,1036.0,LOT,0,Parking Lot
177,245,0,1553.9,LOT,0,Parking Lot
178,245,1,518.0,LOT,0,Parking Lot
179,246,0,337.6,LOT,0,Parking Lot
180,246,1,675.3,LOT,0,Parking Lot
181,246,0,675.3,LOT,0,Parking Lot
182,246,1,337.6,LOT,0,Parking Lot
183,247,0,155.4,LOT,0,Parking Lot
184,247,1,155.4,LOT,0,Parking Lot
185,250,0,152.4,LOT,0,Parking Lot
186,250,1,152.4,LOT,0,Parking Lot
187,253,0,276.2,LOT,0,Parking Lot
188,253,1,276.3,LOT,0,Parking Lot
189,254,0,160.9,LOT,0,Parking Lot
190,254,1,161.0,LOT,0,Parking Lot
191,255,0,494.8,LOT,0,Parking Lot
192,255,1,1484.5,LOT,0,Parking Lot
193,255,0,989.6,LOT,0,Parking Lot
194,255,1,989.7,LOT,0,Parking Lot
195,255,0,1484.5,LOT,0,Parking Lot
196,255,1,494.8,LOT,0,Parking Lot
197,256,0,283.2,LOT,0,Parking Lot
198,256,1,849.6,LOT,0,Parking Lot
199,256,0,566.4,LOT,0,Parking Lot
200,256,1,566.4,LOT,0,Parking Lot
201,256,0,849.6,LOT,0,Parking Lot
202,256,1,283.2,LOT,0,Parking Lot
203,257,0,160.9,LOT,0,Parking Lot
204,257,1,161.0,LOT,0,Parking Lot
205,263,0,160.9,LOT,0,Parking Lot
206,263,1,161.0,LOT,0,Parking Lot
207,264,0,152.3,LOT,0,Parking Lot
208,264,1,152.3,LOT,0,Parking Lot
209,268,0,334.2,LOT,0,Parking Lot
210,268,1,334.2,LOT,0,Parking Lot
211,270,0,343.1,LOT,0,Parking Lot
212,270,1,343.1,LOT,0,Parking Lot
213,271,0,267.7,LOT,0,Parking Lot
214,271,1,803.3,LOT,0,Parking Lot
215,271,0,535.5,LOT,0,Parking Lot
216,271,1,535.5,LOT,0,Parking Lot
217,271,0,803.2,LOT,0,Parking Lot
218,271,1,267.8,LOT,0,Parking Lot
219,58377,1,205.9,LOT,0,Parking Lot
220,58377,0,205.9,LOT,0,Parking Lot
221,274,0,161.0,LOT,0,Parking Lot
222,274,1,161.0,LOT,0,Parking Lot
223,276,0,161.0,LOT,0,Parking Lot
224,276,1,161.1,LOT,0,Parking Lot
