Link,Node1,X,Y,Node2,X,Y
215,427,4878.535,1877.152,428,4896.938,1883.558
216,429,4907.636,1922.374,430,4907.924,1907.703
217,431,4904.715,1825.080,432,4904.715,1789.516
218,433,4940.133,1907.778,434,4922.222,1900.704
219,435,1573.878,484.672,436,1569.417,588.229
220,437,6340.168,2714.063,438,6261.538,2676.312
221,439,6347.672,2701.240,440,6973.143,3756.047
222,441,4010.960,1292.960,442,4225.835,944.924
223,443,340.712,481.200,444,421.217,498.142
224,445,1974.184,6351.572,446,2045.549,5301.541
225,447,2038.086,5296.273,448,2030.725,5066.038
226,449,2047.558,5298.557,450,2083.893,4999.327
227,451,2186.753,4719.987,452,2107.137,4983.576
228,453,2164.376,5038.255,454,2080.001,5289.406
229,455,2072.459,5289.231,456,2051.811,5584.486
230,457,2150.954,5003.878,458,2347.770,5103.498
231,459,2038.310,4947.643,460,2134.155,4766.577
232,461,2195.616,4723.439,462,2179.101,4877.730
233,463,2661.959,3893.756,464,2307.969,4457.947
234,465,2309.006,4459.428,466,2189.224,4718.607
235,467,2102.438,5004.099,468,2068.814,5288.577
236,469,2030.506,5065.819,470,2025.170,4982.886
237,471,2088.820,4977.630,472,2144.636,4769.930
238,473,2141.540,4767.866,474,2245.636,4520.107
239,475,2181.019,5026.550,476,2093.373,4995.811
240,477,2084.763,4991.506,478,2049.981,4979.452
241,479,2015.033,4960.832,480,2095.160,4987.120
242,481,2098.896,4990.125,482,2149.417,5007.242
243,483,2179.409,4877.628,484,2172.409,5002.456
244,485,2484.861,5286.502,486,2237.580,5047.222
245,487,2236.958,5048.746,488,2184.576,5029.752
246,489,2005.873,4969.656,490,1883.620,4933.500
247,491,2049.147,4981.109,492,2006.563,4968.062
248,493,1482.591,4804.903,494,1780.057,4890.951
249,495,2435.218,4221.554,496,2617.492,3930.266
250,497,2250.600,4514.100,498,2430.802,4225.106
251,499,2049.818,5584.767,500,2008.397,6170.363
252,501,1792.169,4892.752,502,2014.194,4958.409
