trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
109,248,176,1453,22754,382.0,1,1
110,248,176,1438,22754,382.0,1,1
111,248,176,1298,22754,382.0,1,1
112,248,176,1402,22754,382.0,1,1
113,248,176,1512,22754,397.0,1,1
114,248,176,1800,22754,397.0,1,1
115,248,176,1651,22754,397.0,1,1
116,248,176,1519,22754,397.0,1,1
117,248,174,140,22440,448.0,1,1
118,248,174,586,22440,427.0,1,1
119,248,174,824,22440,366.0,1,1
120,248,174,1091,22440,365.0,1,1
121,248,174,1408,22440,409.0,1,1
122,248,174,1758,22440,433.0,1,1
123,248,230,281,2947,79.0,1,1
124,248,230,274,2947,79.0,1,1
125,248,230,133,2947,79.0,1,1
126,248,230,194,2947,79.0,1,1
127,248,230,110,2947,79.0,1,1
128,248,230,42,2947,79.0,1,1
129,248,230,47,2947,79.0,1,1
130,248,230,12,2947,79.0,1,1
131,248,230,50,2947,79.0,1,1
132,248,230,273,2947,79.0,1,1
133,248,230,167,2947,79.0,1,1
134,248,230,298,2947,79.0,1,1
135,248,230,78,2947,79.0,1,1
136,248,230,269,2947,79.0,1,1
137,248,230,298,2947,79.0,1,1
138,248,230,236,2947,79.0,1,1
139,248,230,228,2947,79.0,1,1
140,248,230,168,2947,79.0,1,1
141,248,230,27,2947,79.0,1,1
142,248,230,187,2947,79.0,2,4
143,248,230,172,2947,79.0,1,1
144,248,230,104,2947,79.0,1,1
145,248,230,279,2947,79.0,1,1
146,248,230,188,2947,79.0,1,1
147,248,230,177,2947,79.0,1,1
148,248,230,62,2947,79.0,1,1
149,248,230,227,2947,79.0,1,1
150,248,230,175,2947,79.0,1,1
151,248,230,12,2947,79.0,1,1
152,248,230,98,2947,79.0,1,1
153,248,230,211,2947,79.0,1,1
154,248,230,4,2947,79.0,1,1
155,248,230,60,2947,79.0,1,1
156,248,230,216,2947,79.0,1,1
157,248,230,270,2947,79.0,1,1
158,248,230,56,2947,79.0,1,1
159,248,230,242,2947,79.0,1,1
160,248,230,163,2947,79.0,1,1
161,248,230,221,2947,79.0,2,4
162,248,230,120,2947,79.0,1,1
163,248,230,280,2947,79.0,1,1
164,248,230,131,2947,79.0,1,1
165,248,230,48,2947,79.0,1,1
166,248,230,202,2947,79.0,1,1
167,248,230,4,2947,79.0,1,1
168,248,230,172,2947,79.0,1,1
169,248,230,59,2947,79.0,1,1
170,248,230,64,2947,79.0,2,4
171,248,230,16,2947,79.0,1,1
172,248,230,95,2947,79.0,1,1
173,248,230,269,2947,79.0,1,1
174,248,230,250,2947,79.0,1,1
175,248,230,400,2947,73.0,1,1
176,248,230,360,2947,73.0,1,1
177,248,230,395,2947,73.0,1,1
178,248,230,477,2947,73.0,1,1
179,248,230,482,2947,73.0,1,1
180,248,230,562,2947,73.0,1,1
181,248,230,366,2947,73.0,1,1
182,248,230,520,2947,73.0,1,1
