NODE,X_COORD,Y_COORD,Z_COORD
72,766212.4,3323565.6,0
73,767749.9,3323786.9,0
74,767875.3,3323417.9,0
75,768845.3,3324035.4,0
76,769059.9,3323355.5,0
77,771182.4,3323912.6,0
78,771220,3323738.9,0
79,753419.3,3311149.7,0
80,753722.3,3311258.7,0
81,753332.1,3315013.8,0
82,753468,3315305.6,0
83,753551.8,3311219.5,0
84,753251.3,3311103.8,0
85,753574.3,3315625.4,0
86,753438.9,3315333.3,0
87,753739.7,3315889.3,0
88,753878.7,3316183.7,0
89,753883.2,3315832.9,0
90,753992.2,3316195.1,0
91,753828.2,3316172.4,0
92,753709.8,3315917.3,0
93,753904.5,3316142.1,0
94,750345.5,3311225.7,0
95,750440.2,3311089.5,0
96,750323.5,3311917.1,0
97,750441.6,3312214.6,0
98,749528,3312797.9,0
99,749733.4,3312316.4,0
100,750893.6,3310418.4,0
101,750640.8,3309695.8,0
102,750462.1,3311172.9,0
103,750212.8,3311977.4,0
104,750382.3,3311384.5,0
105,750309.4,3311599.4,0
106,750651.8,3312453.1,0
107,750488.5,3312413.3,0
108,750306.4,3312152.3,0
109,750744.1,3312608.7,0
110,752199.1,3313571.9,0
111,750025.3,3312360.1,0
112,750231.2,3311524.9,0
113,750215,3311844.8,0
114,749718.2,3312523,0
115,749274.3,3313385.8,0
116,749293,3313258.3,0
117,751032.1,3310394.6,0
118,750826.3,3310642.2,0
119,751946.1,3310508.6,0
120,752226.2,3310664.9,0
121,750719.3,3310689,0
122,752209.4,3310686,0
123,751819.6,3310401.1,0
124,752516.7,3310804.6,0
125,751125.8,3309852.8,0
126,751585.4,3310138.7,0
127,751577.6,3310157,0
128,751120.6,3309869.9,0
129,751297.8,3310226.4,0
130,751008.4,3310189.1,0
131,751507.2,3310210.2,0
132,751727,3310273.6,0
133,751594.3,3310171.8,0
134,750643,3310906.6,0
135,750535.2,3310953.2,0
136,752524.7,3310785.6,0
137,752822.6,3310907.8,0
138,752952.7,3310983.3,0
139,752654.7,3310861.4,0
140,753120.5,3311030,0
141,751780.3,3313211.3,0
142,752051,3313385.7,0
143,752008,3313446.6,0
144,751816.7,3313321.3,0
145,752853.3,3314040.3,0
146,753013.5,3314318.9,0
147,753248.1,3314276,0
148,753415.7,3314697.5,0
149,753032.5,3314457.3,0
150,752904.4,3314202.3,0
151,753325.1,3314537.5,0
152,752462.9,3313739,0
153,751072.6,3312755.2,0
154,751239,3312862.4,0
155,751275.7,3312972,0
156,751009.6,3312791,0
157,750906.2,3312647.9,0
158,751509.6,3313036.8,0
159,751546.7,3313145.9,0
160,752592.2,3313734.5,0
161,752729,3313882,0
162,752705.6,3313949.7,0
163,752321.6,3313560.1,0
164,753303.4,3315041.3,0
165,753145.2,3314612.4,0
166,753240.3,3314816.8,0
167,753168,3314749.3,0
168,753394.6,3314704.6,0
169,756397.6,3312153.2,0
170,756774,3312285.1,0
171,756907.2,3312352.5,0
172,756604.1,3312244,0
173,757594.1,3312574.7,0
174,757828.8,3312631.9,0
175,759430.6,3312625,0
176,759108.9,3312638.1,0
177,757822.9,3312655.3,0
178,757586,3312600.5,0
179,758647.1,3312637.3,0
180,758968.8,3312624.5,0
181,754947.4,3311656.2,0
182,755339.5,3311788,0
183,755341.2,3311810.6,0
184,755079.8,3311718.5,0
185,754027.9,3311360.1,0
186,754334.2,3311459.4,0
187,754539.4,3311542.4,0
188,754162.3,3311423.9,0
189,754542.8,3311526.1,0
190,754776,3311619.1,0
191,753856.5,3311323.3,0
192,755861.6,3311968.1,0
193,756165.7,3312073.7,0
194,755996.3,3312031.3,0
195,755691.3,3311927.9,0
196,755681.4,3311903.8,0
197,756395.6,3312171.2,0
198,753603.9,3315597.4,0
199,757379.1,3312505.4,0
200,757209.6,3312463.3,0
201,757076.7,3312394.9,0
202,759290.6,3312611.7,0
203,758325.3,3312650.1,0
