SIGNAL,TIMING,TYPE,CYCLE,OFFSET,PHASES
PHASE,BARRIER,RING,POSITION,MIN_GREEN,MAX_GREEN,EXTENSION,YELLOW,ALL_RED
2,1,1,2,37,37,0,3,1
631,1,TIMED,60,57,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
632,1,TIMED,60,36,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
633,1,TIMED,60,19,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
634,1,TIMED,60,0,2
1,1,1,1,47,47,0,3,1
2,1,1,2,5,5,0,3,1
640,1,TIMED,60,34,3
1,1,1,1,15,15,0,0,0
2,1,1,2,22,22,0,3,1
3,1,1,3,15,15,0,3,1
641,1,TIMED,60,42,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
642,1,TIMED,60,5,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
643,1,TIMED,60,28,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
644,1,TIMED,60,58,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
645,1,TIMED,60,17,4
1,1,1,1,10,10,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,11,11,0,0,0
4,1,1,4,10,10,0,3,1
648,1,TIMED,60,30,2
1,1,1,1,23,23,0,3,1
2,1,1,2,29,29,0,3,1
654,1,TIMED,60,36,3
1,1,1,1,8,8,0,0,0
2,1,1,2,20,20,0,3,1
3,1,1,3,24,24,0,3,1
659,1,TIMED,60,1,3
1,1,1,1,9,9,0,0,0
2,1,1,2,19,19,0,3,1
3,1,1,3,24,24,0,3,1
662,1,TIMED,60,33,3
1,1,1,1,8,8,0,0,0
2,1,1,2,16,16,0,3,1
3,1,1,3,28,28,0,3,1
666,1,TIMED,60,29,2
1,1,1,1,19,19,0,3,1
2,1,1,2,33,33,0,3,1
672,1,TIMED,60,56,3
1,1,1,1,9,9,0,0,0
2,1,1,2,10,10,0,3,1
3,1,1,3,33,33,0,3,1
673,1,TIMED,60,31,2
1,1,1,1,39,39,0,3,1
2,1,1,2,13,13,0,3,1
677,1,TIMED,60,28,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
688,1,TIMED,60,11,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
696,1,TIMED,60,36,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
698,1,TIMED,60,46,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
700,1,ACTUATED,91,0,2
1,1,1,1,39,62,23,3,1
2,1,1,2,13,21,8,3,1
701,1,TIMED,60,14,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
704,1,TIMED,60,28,2
1,1,1,1,9,9,0,0,0
2,1,1,2,47,47,0,3,1
712,1,TIMED,60,52,2
1,1,1,1,12,12,0,3,1
2,1,1,2,40,40,0,3,1
720,1,TIMED,60,33,3
1,1,1,1,14,14,0,0,0
2,1,1,2,14,14,0,3,1
3,1,1,3,24,24,0,3,1
728,1,TIMED,60,0,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
729,1,TIMED,60,55,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
735,1,TIMED,60,11,4
1,1,1,1,10,10,0,0,0
2,1,1,2,13,13,0,3,1
3,1,1,3,11,11,0,0,0
4,1,1,4,18,18,0,3,1
757,1,TIMED,60,0,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
770,1,TIMED,60,18,3
1,1,1,1,15,15,0,0,0
2,1,1,2,30,30,0,3,1
3,1,1,3,7,7,0,3,1
772,1,TIMED,60,40,3
1,1,1,1,19,19,0,0,0
2,1,1,2,19,19,0,3,1
3,1,1,3,14,14,0,3,1
786,1,TIMED,60,50,4
1,1,1,1,10,10,0,3,1
2,1,1,2,15,15,0,3,1
3,1,1,3,14,14,0,3,1
4,1,1,4,5,5,0,3,1
790,1,TIMED,60,58,4
1,1,1,1,13,13,0,0,0
2,1,1,2,13,13,0,3,1
3,1,1,3,13,13,0,0,0
4,1,1,4,13,13,0,3,1
794,1,TIMED,60,32,3
1,1,1,1,8,8,0,0,0
2,1,1,2,16,16,0,3,1
3,1,1,3,28,28,0,3,1
795,1,TIMED,60,35,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
797,1,TIMED,60,51,2
1,1,1,1,42,42,0,3,1
2,1,1,2,10,10,0,3,1
799,1,TIMED,60,28,2
1,1,1,1,19,19,0,3,1
2,1,1,2,33,33,0,3,1
808,1,TIMED,60,29,2
