LINK,POINTS
X_COORD,Y_COORD
771577.9,3318488.8
771561.9,3318501.8
771546.6,3318521.5
771543.7,3318542.1
771546.9,3318556.1
771559.3,3318574.0
771576.4,3318587.4
771587.6,3318593.4
771606.7,3318597.6
771649.7,3318599.3
899,1
771489.2,3318659.8
906,2
771155.2,3318655.1
771042.0,3318663.8
907,1
771323.3,3318604.7
909,3
771458.5,3318539.7
771485.5,3318505.8
771512.6,3318455.6
910,3
771430.1,3318573.3
771462.2,3318556.5
771516.7,3318515.5
911,1
770949.7,3319485.4
915,3
772037.6,3318562.5
772166.3,3318611.1
772220.2,3318636.7
916,3
772016.5,3318595.7
772077.3,3318602.2
772193.6,3318630.6
917,10
771952.4,3318711.0
771982.6,3318739.8
772021.3,3318766.0
772060.1,3318795.4
772070.4,3318811.8
772072.3,3318829.7
772070.6,3318865.4
772061.2,3318887.9
772048.5,3318896.3
772030.0,3318897.5
918,1
772097.8,3318866.0
919,1
772028.3,3318655.6
920,6
772029.5,3318743.0
771986.2,3318751.0
771941.6,3318746.4
771915.2,3318741.9
771886.0,3318729.3
771858.8,3318710.8
921,3
772017.7,3318814.0
771926.4,3318729.6
771842.0,3318649.3
922,7
772204.9,3318735.2
772176.3,3318744.7
772144.6,3318771.0
772128.4,3318794.6
772123.3,3318816.9
772124.6,3318841.3
772134.0,3318868.6
923,4
771986.5,3318885.2
771958.8,3318863.2
771897.2,3318814.3
771791.9,3318737.9
924,4
772003.7,3318852.7
771932.0,3318803.8
771878.8,3318773.6
771822.1,3318744.5
925,3
772032.7,3318862.9
771944.7,3318799.9
771903.2,3318772.4
926,2
772164.4,3318963.3
772118.7,3318909.8
927,2
771770.0,3318451.0
771908.2,3318512.3
928,2
771735.7,3318445.2
771787.4,3318503.8
929,2
771722.9,3318513.9
771902.3,3318686.2
930,3
771740.2,3318487.7
771785.8,3318529.6
771876.9,3318646.3
931,2
771817.0,3318594.6
771905.3,3318595.5
932,2
771856.8,3318591.9
771903.9,3318655.7
933,3
771732.6,3318567.4
771670.5,3318491.5
771632.0,3318431.0
934,3
771764.5,3318576.0
771717.6,3318528.2
