PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
85,92,0,161.0,LOT,0,
86,92,1,161.0,LOT,0,
87,93,0,161.0,LOT,0,
88,93,1,161.0,LOT,0,
89,95,0,160.9,LOT,0,
90,95,1,161.0,LOT,0,
91,96,0,161.0,LOT,0,
92,96,1,161.0,LOT,0,
93,97,0,161.0,LOT,0,
94,97,1,161.0,LOT,0,
95,131,0,199.4,LOT,0,
96,131,1,199.4,LOT,0,
97,132,0,160.9,LOT,0,
98,132,1,161.0,LOT,0,
99,134,0,161.0,LOT,0,
100,134,1,161.0,LOT,0,
101,136,0,161.0,LOT,0,
102,136,1,161.0,LOT,0,
103,137,0,206.8,LOT,0,
104,137,1,206.9,LOT,0,
105,139,0,161.0,LOT,0,
106,139,1,161.0,LOT,0,
107,140,0,197.6,LOT,0,
108,140,1,197.7,LOT,0,
109,141,0,212.5,LOT,0,
110,141,1,212.5,LOT,0,
111,142,0,159.8,LOT,0,
112,142,1,159.8,LOT,0,
113,143,0,161.0,LOT,0,
114,143,1,161.0,LOT,0,
115,144,0,160.9,LOT,0,
116,144,1,161.0,LOT,0,
117,145,0,160.9,LOT,0,
118,145,1,161.0,LOT,0,
119,148,0,160.9,LOT,0,
120,148,1,161.0,LOT,0,
121,149,0,161.0,LOT,0,
122,149,1,161.1,LOT,0,
123,150,0,180.5,LOT,0,
124,150,1,180.5,LOT,0,
125,151,0,184.6,LOT,0,
126,151,1,184.6,LOT,0,
127,154,0,211.5,LOT,0,
128,154,1,211.6,LOT,0,
129,160,0,200.3,LOT,0,
130,160,1,200.3,LOT,0,
131,161,0,161.0,LOT,0,
132,161,1,161.0,LOT,0,
133,162,0,161.0,LOT,0,
134,162,1,161.1,LOT,0,
135,163,0,161.0,LOT,0,
136,163,1,161.0,LOT,0,
137,164,0,161.0,LOT,0,
138,164,1,161.1,LOT,0,
139,165,0,160.9,LOT,0,
140,165,1,161.0,LOT,0,
141,166,0,161.0,LOT,0,
142,166,1,161.1,LOT,0,
143,167,0,248.9,LOT,0,
144,167,1,249.0,LOT,0,
145,168,0,161.0,LOT,0,
146,168,1,161.0,LOT,0,
147,169,0,161.0,LOT,0,
148,169,1,161.0,LOT,0,
149,170,0,161.0,LOT,0,
150,170,1,161.0,LOT,0,
151,171,0,161.0,LOT,0,
152,171,1,161.0,LOT,0,
153,172,0,161.0,LOT,0,
154,172,1,161.1,LOT,0,
155,206,0,381.2,LOT,0,
156,206,1,1143.6,LOT,0,
157,206,0,762.4,LOT,0,
158,206,1,762.4,LOT,0,
159,206,0,1143.6,LOT,0,
160,206,1,381.2,LOT,0,
161,208,0,461.0,LOT,0,
162,208,1,1383.1,LOT,0,
163,208,0,922.0,LOT,0,
164,208,1,922.1,LOT,0,
165,208,0,1383.1,LOT,0,
166,208,1,461.0,LOT,0,
167,212,0,305.2,LOT,0,
168,212,1,305.2,LOT,0,
169,214,0,311.9,LOT,0,
170,214,1,311.9,LOT,0,
171,244,0,160.9,LOT,0,
172,244,1,161.0,LOT,0,
173,245,0,518.0,LOT,0,
174,245,1,1553.9,LOT,0,
175,245,0,1035.9,LOT,0,
176,245,1,1036.0,LOT,0,
177,245,0,1553.9,LOT,0,
178,245,1,518.0,LOT,0,
179,246,0,337.6,LOT,0,
180,246,1,675.3,LOT,0,
181,246,0,675.3,LOT,0,
182,246,1,337.6,LOT,0,
183,247,0,155.4,LOT,0,
184,247,1,155.4,LOT,0,
185,250,0,152.4,LOT,0,
186,250,1,152.4,LOT,0,
187,253,0,276.2,LOT,0,
188,253,1,276.3,LOT,0,
189,254,0,160.9,LOT,0,
190,254,1,161.0,LOT,0,
191,255,0,494.8,LOT,0,
192,255,1,1484.5,LOT,0,
193,255,0,989.6,LOT,0,
194,255,1,989.7,LOT,0,
195,255,0,1484.5,LOT,0,
