SIGNAL,PHASING,PHASE,MOVEMENTS,DETECTORS
MOVEMENT,LINK,DIR,TO_LINK,PROTECTION
SB_RIGHT,54674,0,253,PROTECTED
EB_RIGHT,253,0,721,STOP_PERMIT
EB_RIGHT,253,0,720,STOP_PERMIT
280,1,2,4,
SB_RIGHT,54674,0,720,STOP_PERMIT
SB_RIGHT,54674,0,253,STOP_PERMIT
EB_RIGHT,253,0,721,PROTECTED
EB_RIGHT,253,0,720,PROTECTED
284,1,1,2,
EB_LEFT,5234,1,508,PROTECTED
EB_THRU,5234,1,256,PROTECTED
284,1,2,4,
EB_LEFT,5234,1,508,PERMITTED
EB_THRU,5234,1,256,PROTECTED
NB_RIGHT,506,0,256,STOP_PERMIT
SB_THRU,256,1,5234,PROTECTED
284,1,3,3,
NB_LEFT,506,0,5234,PROTECTED
NB_THRU,506,0,508,PROTECTED
NB_RIGHT,506,0,256,PROTECTED
288,1,1,1,
EB_LEFT,6005,0,259,PROTECTED
288,1,2,2,
NB_LEFT,586,0,6005,PROTECTED
NB_THRU,586,0,259,PROTECTED
296,1,1,6,
NB_LEFT,709,0,264,PROTECTED
NB_THRU,709,0,694,PROTECTED
NB_RIGHT,709,0,706,PROTECTED
WB_RIGHT,707,0,694,STOP_PERMIT
SB_RIGHT,696,0,264,STOP_PERMIT
EB_RIGHT,250,0,710,STOP_PERMIT
296,1,2,4,
NB_RIGHT,709,0,706,STOP_PERMIT
WB_LEFT,707,0,710,PROTECTED
WB_THRU,707,0,264,PROTECTED
WB_RIGHT,707,0,694,PROTECTED
296,1,3,3,
SB_LEFT,696,0,706,PROTECTED
SB_THRU,696,0,710,PROTECTED
SB_RIGHT,696,0,264,PROTECTED
296,1,4,3,
EB_LEFT,250,0,694,PROTECTED
EB_THRU,250,0,706,PROTECTED
EB_RIGHT,250,0,710,PROTECTED
307,1,1,2,
EB_LEFT,54284,0,8006,PROTECTED
WB_LEFT,873,1,270,PROTECTED
307,1,2,8,
EB_LEFT,54284,0,8006,PERMITTED
EB_THRU,54284,0,873,PROTECTED
EB_RIGHT,54284,0,270,PROTECTED
SB_RIGHT,8006,0,54284,STOP_PERMIT
WB_LEFT,873,1,270,PERMITTED
WB_THRU,873,1,54284,PROTECTED
WB_RIGHT,873,1,8006,PROTECTED
NB_RIGHT,270,1,873,STOP_PERMIT
307,1,4,8,
EB_RIGHT,54284,0,270,STOP_PERMIT
SB_LEFT,8006,0,873,PERMITTED
SB_THRU,8006,0,270,PROTECTED
SB_RIGHT,8006,0,54284,PROTECTED
WB_RIGHT,873,1,8006,STOP_PERMIT
NB_LEFT,270,1,54284,PERMITTED
NB_THRU,270,1,8006,PROTECTED
NB_RIGHT,270,1,873,PROTECTED
307,1,3,2,
SB_LEFT,8006,0,873,PROTECTED
NB_LEFT,270,1,54284,PROTECTED
309,1,1,2,
EB_LEFT,8004,0,8003,PROTECTED
WB_LEFT,869,1,271,PROTECTED
309,1,2,8,
EB_LEFT,8004,0,8003,PERMITTED
EB_THRU,8004,0,869,PROTECTED
EB_RIGHT,8004,0,271,PROTECTED
SB_RIGHT,8003,0,8004,STOP_PERMIT
WB_LEFT,869,1,271,PERMITTED
WB_THRU,869,1,8004,PROTECTED
WB_RIGHT,869,1,8003,PROTECTED
WB_RIGHT,271,1,869,STOP_PERMIT
309,1,4,8,
EB_RIGHT,8004,0,271,STOP_PERMIT
SB_LEFT,8003,0,869,PERMITTED
SB_THRU,8003,0,271,PROTECTED
SB_RIGHT,8003,0,8004,PROTECTED
WB_RIGHT,869,1,8003,STOP_PERMIT
WB_LEFT,271,1,8004,PERMITTED
WB_THRU,271,1,8003,PROTECTED
WB_RIGHT,271,1,869,PROTECTED
309,1,3,2,
SB_LEFT,8003,0,869,PROTECTED
WB_LEFT,271,1,8004,PROTECTED
310,1,1,2,
WB_LEFT,6005,1,587,PROTECTED
WB_THRU,6005,1,271,PROTECTED
310,1,2,5,
WB_LEFT,6005,1,587,PERMITTED
WB_THRU,6005,1,271,PROTECTED
SB_RIGHT,272,0,271,STOP_PERMIT
SB_THRU,271,0,6005,PROTECTED
SB_RIGHT,271,0,587,PROTECTED
310,1,3,4,
SB_LEFT,272,0,6005,PROTECTED
SB_THRU,272,0,587,PROTECTED
SB_RIGHT,272,0,271,PROTECTED
SB_RIGHT,271,0,587,STOP_PERMIT
359,1,1,4,
WB_LEFT,8778,0,5130,PROTECTED
WB_THRU,8778,0,8780,PROTECTED
WB_RIGHT,8778,0,5129,PROTECTED
SB_RIGHT,5129,0,8780,STOP_PERMIT
359,1,3,5,
WB_RIGHT,8778,0,5129,STOP_PERMIT
NB_LEFT,5130,1,8780,PERMITTED
NB_THRU,5130,1,5129,PROTECTED
SB_THRU,5129,0,5130,PROTECTED
SB_RIGHT,5129,0,8780,PROTECTED
359,1,2,2,
NB_LEFT,5130,1,8780,PROTECTED
NB_THRU,5130,1,5129,PROTECTED
376,1,1,2,
SB_LEFT,5130,0,314,PROTECTED
SB_THRU,5130,0,5128,PROTECTED
376,1,2,5,
SB_LEFT,5130,0,314,PERMITTED
SB_THRU,5130,0,5128,PROTECTED
NB_THRU,5128,1,5130,PROTECTED
NB_RIGHT,5128,1,314,PROTECTED
EB_RIGHT,341,0,5128,STOP_PERMIT
376,1,3,4,
NB_RIGHT,5128,1,314,STOP_PERMIT
EB_LEFT,341,0,5130,PROTECTED
EB_THRU,341,0,314,PROTECTED
EB_RIGHT,341,0,5128,PROTECTED
422,1,1,3,
NB_LEFT,400,0,401,PROTECTED
NB_THRU,400,0,389,PROTECTED
WB_RIGHT,397,0,389,STOP_PERMIT
422,1,2,2,
WB_THRU,397,0,401,PROTECTED
WB_RIGHT,397,0,389,PROTECTED
425,1,1,3,
WB_LEFT,401,0,399,PROTECTED
WB_THRU,401,0,6040,PROTECTED
SB_RIGHT,391,0,6040,STOP_PERMIT
425,1,2,2,
SB_THRU,391,0,399,PROTECTED
SB_RIGHT,391,0,6040,PROTECTED
427,1,1,1,
EB_THRU,8815,0,398,PROTECTED
427,1,2,1,
SB_LEFT,399,0,398,PROTECTED
432,1,1,2,
WB_LEFT,54505,0,403,PROTECTED
EB_LEFT,410,1,409,PROTECTED
432,1,2,8,
WB_LEFT,54505,0,403,PERMITTED
WB_THRU,54505,0,410,PROTECTED
WB_RIGHT,54505,0,409,PROTECTED
EB_LEFT,410,1,409,PERMITTED
EB_THRU,410,1,54505,PROTECTED
EB_RIGHT,410,1,403,PROTECTED
SB_RIGHT,409,1,410,STOP_PERMIT
NB_RIGHT,403,0,54505,STOP_PERMIT
432,1,4,8,
WB_RIGHT,54505,0,409,STOP_PERMIT
EB_RIGHT,410,1,403,STOP_PERMIT
SB_LEFT,409,1,54505,PERMITTED
SB_THRU,409,1,403,PROTECTED
SB_RIGHT,409,1,410,PROTECTED
NB_LEFT,403,0,410,PERMITTED
NB_THRU,403,0,409,PROTECTED
NB_RIGHT,403,0,54505,PROTECTED
432,1,3,2,
SB_LEFT,409,1,54505,PROTECTED
NB_LEFT,403,0,410,PROTECTED
447,1,1,3,
EB_LEFT,444,0,442,PROTECTED
EB_THRU,444,0,437,PROTECTED
NB_RIGHT,426,0,437,STOP_PERMIT
447,1,2,2,
NB_THRU,426,0,442,PROTECTED
NB_RIGHT,426,0,437,PROTECTED
448,1,1,2,
EB_THRU,54741,0,444,PROTECTED
EB_RIGHT,54741,0,427,PROTECTED
448,1,2,3,
EB_RIGHT,54741,0,427,STOP_PERMIT
SB_LEFT,443,0,444,PROTECTED
SB_THRU,443,0,427,PROTECTED
450,1,1,3,
WB_LEFT,445,0,443,PROTECTED
WB_THRU,445,0,428,PROTECTED
SB_RIGHT,441,0,428,STOP_PERMIT
450,1,2,2,
SB_THRU,441,0,443,PROTECTED
SB_RIGHT,441,0,428,PROTECTED
460,1,1,3,
NB_LEFT,442,0,445,PROTECTED
NB_THRU,442,0,440,PROTECTED
WB_RIGHT,438,0,440,STOP_PERMIT
460,1,2,2,
WB_THRU,438,0,445,PROTECTED
WB_RIGHT,438,0,440,PROTECTED
478,1,1,2,
WB_LEFT,54303,0,469,PROTECTED
WB_THRU,54303,0,473,PROTECTED
478,1,2,3,
WB_LEFT,54303,0,469,PERMITTED
WB_THRU,54303,0,473,PROTECTED
SB_RIGHT,473,1,469,PROTECTED
478,1,3,2,
SB_RIGHT,473,1,469,STOP_PERMIT
EB_LEFT,469,0,473,PROTECTED
480,1,1,1,
SB_LEFT,6019,0,474,PROTECTED
480,1,2,2,
EB_LEFT,496,0,6019,PROTECTED
EB_THRU,496,0,474,PROTECTED
483,1,1,2,
NB_LEFT,6018,1,490,PROTECTED
NB_THRU,6018,1,475,PROTECTED
483,1,2,5,
NB_LEFT,6018,1,490,PERMITTED
NB_THRU,6018,1,475,PROTECTED
WB_RIGHT,489,0,475,STOP_PERMIT
SB_THRU,475,0,6018,PROTECTED
SB_RIGHT,475,0,490,PROTECTED
483,1,3,4,
WB_LEFT,489,0,6018,PROTECTED
WB_THRU,489,0,490,PROTECTED
WB_RIGHT,489,0,475,PROTECTED
SB_RIGHT,475,0,490,STOP_PERMIT
489,1,1,2,
NB_LEFT,6019,1,497,PROTECTED
NB_THRU,6019,1,479,PROTECTED
489,1,2,5,
NB_LEFT,6019,1,497,PERMITTED
NB_THRU,6019,1,479,PROTECTED
SB_THRU,479,0,6019,PROTECTED
SB_RIGHT,479,0,497,PROTECTED
WB_RIGHT,478,0,479,STOP_PERMIT
489,1,3,4,
SB_RIGHT,479,0,497,STOP_PERMIT
WB_LEFT,478,0,6019,PROTECTED
WB_THRU,478,0,497,PROTECTED
WB_RIGHT,478,0,479,PROTECTED
490,1,2,5,
EB_THRU,8081,0,549,PROTECTED
EB_RIGHT,8081,0,479,PROTECTED
WB_LEFT,549,1,479,PERMITTED
WB_THRU,549,1,8081,PROTECTED
NB_RIGHT,479,1,549,STOP_PERMIT
490,1,3,3,
EB_RIGHT,8081,0,479,STOP_PERMIT
NB_LEFT,479,1,8081,PROTECTED
NB_RIGHT,479,1,549,PROTECTED
490,1,1,2,
WB_LEFT,549,1,479,PROTECTED
WB_THRU,549,1,8081,PROTECTED
493,1,1,1,
SB_LEFT,6018,0,481,PROTECTED
493,1,2,2,
EB_LEFT,488,0,6018,PROTECTED
EB_THRU,488,0,481,PROTECTED
514,1,1,1,
WB_LEFT,5234,0,507,PROTECTED
514,1,2,2,
SB_LEFT,509,0,5234,PROTECTED
SB_THRU,509,0,507,PROTECTED
515,1,1,2,
SB_LEFT,6041,0,513,PROTECTED
SB_THRU,6041,0,510,PROTECTED
515,1,2,5,
SB_LEFT,6041,0,513,PERMITTED
SB_THRU,6041,0,510,PROTECTED
EB_RIGHT,517,0,510,STOP_PERMIT
NB_THRU,510,1,6041,PROTECTED
NB_RIGHT,510,1,513,PROTECTED
515,1,3,4,
EB_LEFT,517,0,6041,PROTECTED
EB_THRU,517,0,513,PROTECTED
EB_RIGHT,517,0,510,PROTECTED
NB_RIGHT,510,1,513,STOP_PERMIT
519,1,1,1,
NB_LEFT,54883,0,533,PROTECTED
519,1,2,2,
WB_LEFT,54882,1,54883,PROTECTED
WB_THRU,54882,1,533,PROTECTED
519,1,3,3,
WB_LEFT,54882,1,54883,PERMITTED
WB_THRU,54882,1,533,PROTECTED
EB_THRU,533,0,54882,PROTECTED
523,1,1,1,
NB_LEFT,6041,1,516,PROTECTED
523,1,2,2,
WB_LEFT,514,0,6041,PROTECTED
WB_THRU,514,0,516,PROTECTED
543,1,1,2,
SB_LEFT,5236,0,558,PROTECTED
SB_THRU,5236,0,5235,PROTECTED
543,1,2,5,
SB_LEFT,5236,0,558,PERMITTED
SB_THRU,5236,0,5235,PROTECTED
NB_THRU,5235,1,5236,PROTECTED
NB_RIGHT,5235,1,558,PROTECTED
EB_RIGHT,555,0,5235,STOP_PERMIT
543,1,3,4,
