SIGNAL,PHASING,PHASE,MOVEMENTS,DETECTORS
MOVEMENT,LINK,DIR,TO_LINK,PROTECTION
NB_LEFT,3833,1,7546,PERMITTED
NB_THRU,3833,1,4490,PROTECTED
NB_RIGHT,3833,1,6128,PROTECTED
3525,1,3,2,
SB_LEFT,4490,0,6128,PROTECTED
NB_LEFT,3833,1,7546,PROTECTED
3529,1,1,3,
WB_THRU,4524,1,3835,PROTECTED
SB_RIGHT,4523,0,3835,STOP_PERMIT
EB_THRU,3835,1,4524,PROTECTED
3529,1,2,2,
SB_LEFT,4523,0,4524,PROTECTED
SB_RIGHT,4523,0,3835,PROTECTED
3532,1,1,2,
EB_LEFT,7540,0,3836,PROTECTED
WB_LEFT,4350,1,4421,PROTECTED
3532,1,2,8,
EB_LEFT,7540,0,3836,PERMITTED
EB_THRU,7540,0,4350,PROTECTED
EB_RIGHT,7540,0,4421,PROTECTED
NB_RIGHT,4421,1,4350,STOP_PERMIT
WB_LEFT,4350,1,4421,PERMITTED
WB_THRU,4350,1,7540,PROTECTED
WB_RIGHT,4350,1,3836,PROTECTED
SB_RIGHT,3836,0,7540,STOP_PERMIT
3532,1,4,8,
EB_RIGHT,7540,0,4421,STOP_PERMIT
NB_LEFT,4421,1,7540,PERMITTED
NB_THRU,4421,1,3836,PROTECTED
NB_RIGHT,4421,1,4350,PROTECTED
WB_RIGHT,4350,1,3836,STOP_PERMIT
SB_LEFT,3836,0,4350,PERMITTED
SB_THRU,3836,0,4421,PROTECTED
SB_RIGHT,3836,0,7540,PROTECTED
3532,1,3,2,
NB_LEFT,4421,1,7540,PROTECTED
SB_LEFT,3836,0,4350,PROTECTED
3534,1,2,5,
WB_THRU,6237,1,6236,PROTECTED
WB_RIGHT,6237,1,5158,PROTECTED
EB_LEFT,6236,0,5158,PERMITTED
EB_THRU,6236,0,6237,PROTECTED
SB_RIGHT,5158,0,6236,STOP_PERMIT
3534,1,3,3,
WB_RIGHT,6237,1,5158,STOP_PERMIT
SB_LEFT,5158,0,6237,PROTECTED
SB_RIGHT,5158,0,6236,PROTECTED
3534,1,1,2,
EB_LEFT,6236,0,5158,PROTECTED
EB_THRU,6236,0,6237,PROTECTED
3539,1,1,1,
EB_LEFT,6257,0,4022,PROTECTED
3539,1,2,2,
NB_LEFT,3839,0,6257,PROTECTED
NB_THRU,3839,0,4022,PROTECTED
3542,1,1,2,
NB_LEFT,6088,0,3981,PROTECTED
NB_RIGHT,6088,0,3841,PROTECTED
3542,1,2,3,
NB_RIGHT,6088,0,3841,STOP_PERMIT
NB_LEFT,3983,0,6088,PROTECTED
NB_THRU,3983,0,3981,PROTECTED
3542,1,3,2,
WB_LEFT,3841,1,6088,PROTECTED
WB_THRU,3841,1,3981,PROTECTED
3546,1,1,2,
SB_LEFT,3949,0,3844,PROTECTED
SB_THRU,3949,0,3941,PROTECTED
3546,1,2,5,
SB_LEFT,3949,0,3844,PERMITTED
SB_THRU,3949,0,3941,PROTECTED
NB_THRU,3941,0,3949,PROTECTED
NB_RIGHT,3941,0,3844,PROTECTED
WB_RIGHT,3844,1,3949,STOP_PERMIT
3546,1,3,3,
NB_RIGHT,3941,0,3844,STOP_PERMIT
WB_THRU,3844,1,3941,PROTECTED
WB_RIGHT,3844,1,3949,PROTECTED
3548,1,1,2,
WB_LEFT,6257,1,3845,PROTECTED
WB_THRU,6257,1,6256,PROTECTED
3548,1,2,5,
WB_LEFT,6257,1,3845,PERMITTED
WB_THRU,6257,1,6256,PROTECTED
EB_THRU,6256,0,6257,PROTECTED
EB_RIGHT,6256,0,3845,PROTECTED
SB_RIGHT,4023,0,6256,STOP_PERMIT
3548,1,3,4,
EB_RIGHT,6256,0,3845,STOP_PERMIT
SB_LEFT,4023,0,6257,PROTECTED
SB_THRU,4023,0,3845,PROTECTED
SB_RIGHT,4023,0,6256,PROTECTED
3554,1,1,2,
NB_LEFT,6246,1,4075,PROTECTED
NB_THRU,6246,1,4079,PROTECTED
3554,1,2,4,
NB_LEFT,6246,1,4075,PERMITTED
NB_THRU,6246,1,4079,PROTECTED
SB_THRU,4079,0,6246,PROTECTED
WB_RIGHT,3848,0,4079,STOP_PERMIT
3554,1,3,3,
WB_LEFT,3848,0,6246,PROTECTED
WB_THRU,3848,0,4075,PROTECTED
WB_RIGHT,3848,0,4079,PROTECTED
3555,1,1,2,
SB_LEFT,6245,1,4061,PROTECTED
SB_THRU,6245,1,3849,PROTECTED
3555,1,2,5,
SB_LEFT,6245,1,4061,PERMITTED
SB_THRU,6245,1,3849,PROTECTED
EB_RIGHT,4054,0,3849,STOP_PERMIT
NB_THRU,3849,1,6245,PROTECTED
NB_RIGHT,3849,1,4061,PROTECTED
3555,1,3,4,
EB_LEFT,4054,0,6245,PROTECTED
EB_THRU,4054,0,4061,PROTECTED
EB_RIGHT,4054,0,3849,PROTECTED
NB_RIGHT,3849,1,4061,STOP_PERMIT
3556,1,1,3,
SB_LEFT,8130,0,3849,PROTECTED
SB_RIGHT,8130,0,6251,PROTECTED
SB_RIGHT,3849,0,8130,STOP_PERMIT
3556,1,3,5,
SB_RIGHT,8130,0,6251,STOP_PERMIT
NB_LEFT,6251,1,8130,PERMITTED
NB_THRU,6251,1,3849,PROTECTED
SB_THRU,3849,0,6251,PROTECTED
SB_RIGHT,3849,0,8130,PROTECTED
3556,1,2,2,
NB_LEFT,6251,1,8130,PROTECTED
NB_THRU,6251,1,3849,PROTECTED
3557,1,1,2,
NB_LEFT,6245,0,4062,PROTECTED
NB_THRU,6245,0,3850,PROTECTED
3557,1,2,4,
NB_LEFT,6245,0,4062,PERMITTED
NB_THRU,6245,0,3850,PROTECTED
WB_RIGHT,4060,0,3850,STOP_PERMIT
SB_THRU,3850,1,6245,PROTECTED
3557,1,3,3,
WB_LEFT,4060,0,6245,PROTECTED
WB_THRU,4060,0,4062,PROTECTED
WB_RIGHT,4060,0,3850,PROTECTED
3560,1,2,4,
NB_THRU,6247,1,6246,PROTECTED
SB_LEFT,6246,0,4036,PERMITTED
SB_THRU,6246,0,6247,PROTECTED
EB_RIGHT,3851,0,6247,STOP_PERMIT
3560,1,1,2,
SB_LEFT,6246,0,4036,PROTECTED
SB_THRU,6246,0,6247,PROTECTED
3560,1,3,2,
EB_THRU,3851,0,4036,PROTECTED
EB_RIGHT,3851,0,6247,PROTECTED
3562,1,1,2,
NB_LEFT,8758,0,4028,PROTECTED
NB_THRU,8758,0,4026,PROTECTED
3562,1,2,4,
NB_LEFT,8758,0,4028,PERMITTED
NB_THRU,8758,0,4026,PROTECTED
SB_RIGHT,4026,0,4028,PROTECTED
WB_RIGHT,3852,0,4026,STOP_PERMIT
3562,1,3,3,
SB_RIGHT,4026,0,4028,STOP_PERMIT
WB_THRU,3852,0,4028,PROTECTED
WB_RIGHT,3852,0,4026,PROTECTED
3565,1,1,2,
NB_LEFT,4026,1,4013,PROTECTED
SB_LEFT,3854,1,3855,PROTECTED
3565,1,2,8,
NB_LEFT,4026,1,4013,PERMITTED
NB_THRU,4026,1,3854,PROTECTED
NB_RIGHT,4026,1,3855,PROTECTED
EB_RIGHT,4013,0,4026,STOP_PERMIT
WB_RIGHT,3855,1,3854,STOP_PERMIT
SB_LEFT,3854,1,3855,PERMITTED
SB_THRU,3854,1,4026,PROTECTED
SB_RIGHT,3854,1,4013,PROTECTED
3565,1,4,8,
NB_RIGHT,4026,1,3855,STOP_PERMIT
EB_LEFT,4013,0,3854,PERMITTED
EB_THRU,4013,0,3855,PROTECTED
EB_RIGHT,4013,0,4026,PROTECTED
WB_LEFT,3855,1,4026,PERMITTED
WB_THRU,3855,1,4013,PROTECTED
WB_RIGHT,3855,1,3854,PROTECTED
SB_RIGHT,3854,1,4013,STOP_PERMIT
3565,1,3,2,
EB_LEFT,4013,0,3854,PROTECTED
WB_LEFT,3855,1,4026,PROTECTED
3566,1,1,3,
EB_LEFT,6111,0,4067,PROTECTED
EB_RIGHT,6111,0,3854,PROTECTED
SB_RIGHT,4067,1,6111,STOP_PERMIT
3566,1,3,5,
EB_RIGHT,6111,0,3854,STOP_PERMIT
SB_THRU,4067,1,3854,PROTECTED
SB_RIGHT,4067,1,6111,PROTECTED
NB_LEFT,3854,0,6111,PERMITTED
NB_THRU,3854,0,4067,PROTECTED
3566,1,2,2,
NB_LEFT,3854,0,6111,PROTECTED
NB_THRU,3854,0,4067,PROTECTED
3567,1,1,2,
NB_LEFT,4074,0,3855,PROTECTED
SB_LEFT,4066,1,4073,PROTECTED
3567,1,2,8,
NB_LEFT,4074,0,3855,PERMITTED
NB_THRU,4074,0,4066,PROTECTED
NB_RIGHT,4074,0,4073,PROTECTED
WB_RIGHT,4073,1,4066,STOP_PERMIT
SB_LEFT,4066,1,4073,PERMITTED
SB_THRU,4066,1,4074,PROTECTED
SB_RIGHT,4066,1,3855,PROTECTED
EB_RIGHT,3855,0,4074,STOP_PERMIT
3567,1,4,8,
NB_RIGHT,4074,0,4073,STOP_PERMIT
WB_LEFT,4073,1,4074,PERMITTED
WB_THRU,4073,1,3855,PROTECTED
WB_RIGHT,4073,1,4066,PROTECTED
SB_RIGHT,4066,1,3855,STOP_PERMIT
EB_LEFT,3855,0,4066,PERMITTED
EB_THRU,3855,0,4073,PROTECTED
EB_RIGHT,3855,0,4074,PROTECTED
3567,1,3,2,
WB_LEFT,4073,1,4074,PROTECTED
EB_LEFT,3855,0,4066,PROTECTED
3568,1,1,3,
NB_LEFT,8538,0,5323,PROTECTED
NB_THRU,8538,0,5325,PROTECTED
NB_RIGHT,5322,1,5325,STOP_PERMIT
3568,1,2,3,
SB_THRU,5323,0,5322,PROTECTED
NB_THRU,5322,1,5323,PROTECTED
NB_RIGHT,5322,1,5325,PROTECTED
3572,1,1,2,
EB_LEFT,5200,0,3859,PROTECTED
EB_THRU,5200,0,3858,PROTECTED
3572,1,2,5,
EB_LEFT,5200,0,3859,PERMITTED
EB_THRU,5200,0,3858,PROTECTED
NB_RIGHT,3898,0,3858,STOP_PERMIT
WB_THRU,3858,1,5200,PROTECTED
WB_RIGHT,3858,1,3859,PROTECTED
3572,1,3,4,
NB_LEFT,3898,0,5200,PROTECTED
NB_THRU,3898,0,3859,PROTECTED
NB_RIGHT,3898,0,3858,PROTECTED
WB_RIGHT,3858,1,3859,STOP_PERMIT
3575,1,1,2,
SB_LEFT,8163,0,3901,PROTECTED
NB_LEFT,3860,1,3903,PROTECTED
3575,1,2,8,
SB_LEFT,8163,0,3901,PERMITTED
SB_THRU,8163,0,3860,PROTECTED
SB_RIGHT,8163,0,3903,PROTECTED
EB_RIGHT,3903,0,3860,STOP_PERMIT
WB_RIGHT,3901,1,8163,STOP_PERMIT
NB_LEFT,3860,1,3903,PERMITTED
NB_THRU,3860,1,8163,PROTECTED
NB_RIGHT,3860,1,3901,PROTECTED
3575,1,4,8,
SB_RIGHT,8163,0,3903,STOP_PERMIT
EB_LEFT,3903,0,8163,PERMITTED
EB_THRU,3903,0,3901,PROTECTED
EB_RIGHT,3903,0,3860,PROTECTED
WB_LEFT,3901,1,3860,PERMITTED
WB_THRU,3901,1,3903,PROTECTED
WB_RIGHT,3901,1,8163,PROTECTED
NB_RIGHT,3860,1,3901,STOP_PERMIT
3575,1,3,2,
EB_LEFT,3903,0,8163,PROTECTED
WB_LEFT,3901,1,3860,PROTECTED
3576,1,2,5,
NB_THRU,6083,1,3860,PROTECTED
NB_RIGHT,6083,1,3866,PROTECTED
WB_RIGHT,3866,1,3860,STOP_PERMIT
SB_LEFT,3860,0,3866,PERMITTED
SB_THRU,3860,0,6083,PROTECTED
3576,1,3,3,
NB_RIGHT,6083,1,3866,STOP_PERMIT
WB_LEFT,3866,1,6083,PROTECTED
WB_RIGHT,3866,1,3860,PROTECTED
3576,1,1,2,
SB_LEFT,3860,0,3866,PROTECTED
SB_THRU,3860,0,6083,PROTECTED
3578,1,2,5,
EB_THRU,8156,0,5200,PROTECTED
EB_RIGHT,8156,0,3900,PROTECTED
WB_LEFT,5200,1,3900,PERMITTED
WB_THRU,5200,1,8156,PROTECTED
SB_RIGHT,3861,0,8156,STOP_PERMIT
3578,1,3,4,
EB_RIGHT,8156,0,3900,STOP_PERMIT
SB_LEFT,3861,0,5200,PROTECTED
SB_THRU,3861,0,3900,PROTECTED
SB_RIGHT,3861,0,8156,PROTECTED
3578,1,1,2,
WB_LEFT,5200,1,3900,PROTECTED
WB_THRU,5200,1,8156,PROTECTED
3580,1,1,3,
NB_LEFT,3883,0,3888,PROTECTED
NB_THRU,3883,0,3889,PROTECTED
WB_RIGHT,3862,0,3889,STOP_PERMIT
3580,1,2,2,
WB_THRU,3862,0,3888,PROTECTED
WB_RIGHT,3862,0,3889,PROTECTED
3581,1,1,1,
EB_LEFT,6085,0,3863,PROTECTED
3581,1,2,2,
NB_LEFT,3918,0,6085,PROTECTED
NB_THRU,3918,0,3863,PROTECTED
3583,1,1,2,
EB_LEFT,5199,0,3864,PROTECTED
EB_THRU,5199,0,3923,PROTECTED
3583,1,2,5,
EB_LEFT,5199,0,3864,PERMITTED
EB_THRU,5199,0,3923,PROTECTED
NB_RIGHT,3928,0,3923,STOP_PERMIT
WB_THRU,3923,1,5199,PROTECTED
WB_RIGHT,3923,1,3864,PROTECTED
3583,1,3,4,
NB_LEFT,3928,0,5199,PROTECTED
NB_THRU,3928,0,3864,PROTECTED
NB_RIGHT,3928,0,3923,PROTECTED
WB_RIGHT,3923,1,3864,STOP_PERMIT
3586,1,2,5,
EB_THRU,8154,0,6085,PROTECTED
EB_RIGHT,8154,0,3922,PROTECTED
WB_LEFT,6085,1,3922,PERMITTED
WB_THRU,6085,1,8154,PROTECTED
SB_RIGHT,3865,0,8154,STOP_PERMIT
3586,1,3,4,
EB_RIGHT,8154,0,3922,STOP_PERMIT
SB_LEFT,3865,0,6085,PROTECTED
SB_THRU,3865,0,3922,PROTECTED
SB_RIGHT,3865,0,8154,PROTECTED
3586,1,1,2,
WB_LEFT,6085,1,3922,PROTECTED
WB_THRU,6085,1,8154,PROTECTED
3587,1,1,2,
NB_LEFT,6082,1,3866,PROTECTED
SB_LEFT,6081,0,6080,PROTECTED
3587,1,2,8,
NB_LEFT,6082,1,3866,PERMITTED
NB_THRU,6082,1,6081,PROTECTED
NB_RIGHT,6082,1,6080,PROTECTED
SB_LEFT,6081,0,6080,PERMITTED
SB_THRU,6081,0,6082,PROTECTED
SB_RIGHT,6081,0,3866,PROTECTED
WB_RIGHT,6080,1,6081,STOP_PERMIT
EB_RIGHT,3866,0,6082,STOP_PERMIT
3587,1,4,8,
NB_RIGHT,6082,1,6080,STOP_PERMIT
SB_RIGHT,6081,0,3866,STOP_PERMIT
WB_LEFT,6080,1,6082,PERMITTED
WB_THRU,6080,1,3866,PROTECTED
WB_RIGHT,6080,1,6081,PROTECTED
EB_LEFT,3866,0,6081,PERMITTED
EB_THRU,3866,0,6080,PROTECTED
EB_RIGHT,3866,0,6082,PROTECTED
3587,1,3,2,
WB_LEFT,6080,1,6082,PROTECTED
EB_LEFT,3866,0,6081,PROTECTED
3588,1,1,1,
SB_THRU,6084,0,3867,PROTECTED
3588,1,2,1,
EB_THRU,3879,0,3867,PROTECTED
3595,1,2,4,
SB_THRU,8157,0,6084,PROTECTED
NB_LEFT,6084,1,3880,PERMITTED
NB_THRU,6084,1,8157,PROTECTED
WB_RIGHT,3871,0,8157,STOP_PERMIT
3595,1,1,2,
NB_LEFT,6084,1,3880,PROTECTED
NB_THRU,6084,1,8157,PROTECTED
3595,1,3,2,
WB_THRU,3871,0,3880,PROTECTED
WB_RIGHT,3871,0,8157,PROTECTED
3598,1,1,1,
SB_THRU,6103,0,3873,PROTECTED
3598,1,2,1,
EB_THRU,3876,0,3873,PROTECTED
3601,1,1,2,
NB_LEFT,6103,1,3877,PROTECTED
NB_THRU,6103,1,6083,PROTECTED
3601,1,2,4,
NB_LEFT,6103,1,3877,PERMITTED
NB_THRU,6103,1,6083,PROTECTED
SB_THRU,6083,0,6103,PROTECTED
WB_RIGHT,3874,0,6083,STOP_PERMIT
3601,1,3,2,
WB_THRU,3874,0,3877,PROTECTED
WB_RIGHT,3874,0,6083,PROTECTED
3606,1,1,1,
SB_LEFT,3894,0,3885,PROTECTED
3606,1,2,1,
EB_THRU,3890,0,3885,PROTECTED
3609,1,1,2,
SB_THRU,3892,0,3894,PROTECTED
SB_RIGHT,3892,0,3895,PROTECTED
3609,1,2,3,
SB_RIGHT,3892,0,3895,STOP_PERMIT
WB_LEFT,3888,0,3894,PROTECTED
WB_THRU,3888,0,3895,PROTECTED
3630,1,1,2,
WB_LEFT,6087,1,3930,PROTECTED
WB_THRU,6087,1,3924,PROTECTED
3630,1,2,5,
WB_LEFT,6087,1,3930,PERMITTED
WB_THRU,6087,1,3924,PROTECTED
SB_RIGHT,3934,0,3924,STOP_PERMIT
EB_THRU,3924,0,6087,PROTECTED
EB_RIGHT,3924,0,3930,PROTECTED
3630,1,3,4,
SB_LEFT,3934,0,6087,PROTECTED
SB_THRU,3934,0,3930,PROTECTED
SB_RIGHT,3934,0,3924,PROTECTED
EB_RIGHT,3924,0,3930,STOP_PERMIT
3631,1,2,4,
WB_THRU,8133,0,6086,PROTECTED
WB_RIGHT,8133,0,3925,PROTECTED
EB_LEFT,6086,0,3925,PERMITTED
EB_THRU,6086,0,8133,PROTECTED
3631,1,3,3,
WB_RIGHT,8133,0,3925,STOP_PERMIT
NB_LEFT,3933,0,6086,PROTECTED
NB_THRU,3933,0,3925,PROTECTED
3631,1,1,2,
EB_LEFT,6086,0,3925,PROTECTED
EB_THRU,6086,0,8133,PROTECTED
3634,1,1,1,
WB_LEFT,6086,1,3934,PROTECTED
3634,1,2,2,
SB_LEFT,3926,0,6086,PROTECTED
SB_THRU,3926,0,3934,PROTECTED
3637,1,1,1,
EB_LEFT,6087,0,3933,PROTECTED
3637,1,2,2,
NB_LEFT,3929,0,6087,PROTECTED
NB_THRU,3929,0,3933,PROTECTED
3641,1,1,2,
EB_LEFT,6102,1,4006,PROTECTED
WB_LEFT,5195,0,3843,PROTECTED
3641,1,2,8,
EB_LEFT,6102,1,4006,PERMITTED
EB_THRU,6102,1,5195,PROTECTED
EB_RIGHT,6102,1,3843,PROTECTED
WB_LEFT,5195,0,3843,PERMITTED
WB_THRU,5195,0,6102,PROTECTED
WB_RIGHT,5195,0,4006,PROTECTED
SB_RIGHT,4006,0,6102,STOP_PERMIT
NB_RIGHT,3843,1,5195,STOP_PERMIT
3641,1,4,8,
EB_RIGHT,6102,1,3843,STOP_PERMIT
WB_RIGHT,5195,0,4006,STOP_PERMIT
SB_LEFT,4006,0,5195,PERMITTED
SB_THRU,4006,0,3843,PROTECTED
SB_RIGHT,4006,0,6102,PROTECTED
NB_LEFT,3843,1,6102,PERMITTED
NB_THRU,3843,1,4006,PROTECTED
NB_RIGHT,3843,1,5195,PROTECTED
3641,1,3,2,
SB_LEFT,4006,0,5195,PROTECTED
NB_LEFT,3843,1,6102,PROTECTED
3642,1,1,2,
EB_LEFT,6120,1,3843,PROTECTED
WB_LEFT,6119,0,6116,PROTECTED
3642,1,2,8,
EB_LEFT,6120,1,3843,PERMITTED
EB_THRU,6120,1,6119,PROTECTED
EB_RIGHT,6120,1,6116,PROTECTED
WB_LEFT,6119,0,6116,PERMITTED
WB_THRU,6119,0,6120,PROTECTED
WB_RIGHT,6119,0,3843,PROTECTED
NB_RIGHT,6116,1,6119,STOP_PERMIT
SB_RIGHT,3843,0,6120,STOP_PERMIT
3642,1,4,8,
EB_RIGHT,6120,1,6116,STOP_PERMIT
WB_RIGHT,6119,0,3843,STOP_PERMIT
NB_LEFT,6116,1,6120,PERMITTED
NB_THRU,6116,1,3843,PROTECTED
NB_RIGHT,6116,1,6119,PROTECTED
SB_LEFT,3843,0,6119,PERMITTED
SB_THRU,3843,0,6116,PROTECTED
SB_RIGHT,3843,0,6120,PROTECTED
3642,1,3,2,
NB_LEFT,6116,1,6120,PROTECTED
SB_LEFT,3843,0,6119,PROTECTED
3646,1,1,2,
NB_LEFT,6244,0,3948,PROTECTED
NB_THRU,6244,0,3941,PROTECTED
3646,1,2,5,
NB_LEFT,6244,0,3948,PERMITTED
NB_THRU,6244,0,3941,PROTECTED
WB_RIGHT,4012,0,3941,STOP_PERMIT
SB_THRU,3941,1,6244,PROTECTED
SB_RIGHT,3941,1,3948,PROTECTED
3646,1,3,4,
WB_LEFT,4012,0,6244,PROTECTED
WB_THRU,4012,0,3948,PROTECTED
WB_RIGHT,4012,0,3941,PROTECTED
SB_RIGHT,3941,1,3948,STOP_PERMIT
3647,1,1,1,
SB_LEFT,6244,1,3942,PROTECTED
3647,1,2,2,
EB_LEFT,3995,0,6244,PROTECTED
EB_THRU,3995,0,3942,PROTECTED
3654,1,2,5,
EB_THRU,8147,0,3947,PROTECTED
EB_RIGHT,8147,0,3946,PROTECTED
WB_LEFT,3947,1,3946,PERMITTED
WB_THRU,3947,1,8147,PROTECTED
NB_RIGHT,3946,1,3947,STOP_PERMIT
3654,1,3,3,
EB_RIGHT,8147,0,3946,STOP_PERMIT
NB_LEFT,3946,1,8147,PROTECTED
NB_RIGHT,3946,1,3947,PROTECTED
3654,1,1,2,
WB_LEFT,3947,1,3946,PROTECTED
WB_THRU,3947,1,8147,PROTECTED
3655,1,1,3,
EB_LEFT,6118,1,3946,PROTECTED
EB_RIGHT,6118,1,6117,PROTECTED
SB_RIGHT,3946,0,6118,STOP_PERMIT
3655,1,3,5,
EB_RIGHT,6118,1,6117,STOP_PERMIT
NB_LEFT,6117,1,6118,PERMITTED
NB_THRU,6117,1,3946,PROTECTED
SB_THRU,3946,0,6117,PROTECTED
SB_RIGHT,3946,0,6118,PROTECTED
3655,1,2,2,
NB_LEFT,6117,1,6118,PROTECTED
NB_THRU,6117,1,3946,PROTECTED
3657,1,2,5,
EB_THRU,8146,0,4029,PROTECTED
EB_RIGHT,8146,0,3949,PROTECTED
WB_LEFT,4029,1,3949,PERMITTED
WB_THRU,4029,1,8146,PROTECTED
NB_RIGHT,3949,1,4029,STOP_PERMIT
3657,1,3,3,
EB_RIGHT,8146,0,3949,STOP_PERMIT
NB_LEFT,3949,1,8146,PROTECTED
NB_RIGHT,3949,1,4029,PROTECTED
3657,1,1,2,
WB_LEFT,4029,1,3949,PROTECTED
WB_THRU,4029,1,8146,PROTECTED
3663,1,1,4,
SB_LEFT,5326,0,3975,PROTECTED
SB_LEFT,5326,0,3952,PROTECTED
SB_THRU,5326,0,5324,PROTECTED
NB_RIGHT,3952,1,3975,STOP_PERMIT
3663,1,2,1,
NB_RIGHT,3952,1,3975,PROTECTED
3665,1,1,1,
SB_LEFT,6291,1,3954,PROTECTED
3665,1,2,3,
SB_LEFT,6291,1,3954,PERMITTED
NB_THRU,5325,0,6291,PROTECTED
NB_RIGHT,5325,0,3954,PROTECTED
3665,1,3,3,
NB_RIGHT,5325,0,3954,STOP_PERMIT
EB_LEFT,3975,0,6291,PROTECTED
EB_THRU,3975,0,3954,PROTECTED
3671,1,1,3,
SB_LEFT,54252,1,3993,PROTECTED
SB_LEFT,54252,1,3988,PROTECTED
EB_RIGHT,3958,0,3988,STOP_PERMIT
3671,1,2,3,
EB_LEFT,3958,0,6238,PROTECTED
EB_THRU,3958,0,3993,PROTECTED
EB_RIGHT,3958,0,3988,PROTECTED
3672,1,1,1,
NB_LEFT,6292,0,3959,PROTECTED
3672,1,2,2,
WB_LEFT,3981,0,6292,PROTECTED
WB_THRU,3981,0,3959,PROTECTED
3673,1,1,3,
NB_LEFT,6291,0,3974,PROTECTED
NB_THRU,6291,0,3971,PROTECTED
WB_RIGHT,3959,0,3971,STOP_PERMIT
3673,1,2,3,
WB_LEFT,3959,0,6291,PROTECTED
WB_THRU,3959,0,3974,PROTECTED
WB_RIGHT,3959,0,3971,PROTECTED
3674,1,1,1,
NB_LEFT,3994,0,3960,PROTECTED
3674,1,2,2,
WB_LEFT,3992,0,3994,PROTECTED
WB_THRU,3992,0,3960,PROTECTED
3675,1,1,5,
SB_THRU,54251,1,54252,PROTECTED
SB_RIGHT,54251,1,3979,PROTECTED
SB_RIGHT,54251,1,3976,PROTECTED
WB_RIGHT,3960,0,3976,STOP_PERMIT
WB_RIGHT,3960,0,6239,STOP_PERMIT
3675,1,2,5,
SB_RIGHT,54251,1,3979,STOP_PERMIT
SB_RIGHT,54251,1,3976,STOP_PERMIT
NB_LEFT,6238,0,3979,PROTECTED
NB_LEFT,6238,0,3976,PROTECTED
NB_THRU,6238,0,6239,PROTECTED
3675,1,3,4,
WB_LEFT,3960,0,54252,PROTECTED
WB_THRU,3960,0,3979,PROTECTED
WB_RIGHT,3960,0,3976,PROTECTED
WB_RIGHT,3960,0,6239,PROTECTED
3682,1,1,1,
SB_THRU,6306,0,5326,PROTECTED
3682,1,2,1,
WB_LEFT,3974,0,5326,PROTECTED
3683,1,1,2,
SB_LEFT,6088,1,3982,PROTECTED
SB_THRU,6088,1,6079,PROTECTED
3683,1,2,5,
SB_LEFT,6088,1,3982,PERMITTED
SB_THRU,6088,1,6079,PROTECTED
NB_THRU,6079,1,6088,PROTECTED
NB_RIGHT,6079,1,3982,PROTECTED
EB_RIGHT,3984,0,6079,STOP_PERMIT
3683,1,3,4,
NB_RIGHT,6079,1,3982,STOP_PERMIT
EB_LEFT,3984,0,6088,PROTECTED
EB_THRU,3984,0,3982,PROTECTED
EB_RIGHT,3984,0,6079,PROTECTED
3684,1,1,1,
SB_LEFT,6292,1,3984,PROTECTED
3684,1,2,2,
EB_LEFT,3985,0,6292,PROTECTED
EB_THRU,3985,0,3984,PROTECTED
3685,1,1,1,
SB_LEFT,3994,1,3991,PROTECTED
3685,1,2,3,
SB_LEFT,3994,1,3991,PERMITTED
NB_THRU,3986,0,3994,PROTECTED
NB_RIGHT,3986,0,3991,PROTECTED
3685,1,3,3,
EB_LEFT,3993,0,3994,PROTECTED
EB_THRU,3993,0,3991,PROTECTED
NB_RIGHT,3986,0,3991,STOP_PERMIT
3693,1,1,2,
SB_LEFT,6100,0,3997,PROTECTED
NB_LEFT,5196,1,5195,PROTECTED
3693,1,2,8,
SB_LEFT,6100,0,3997,PERMITTED
SB_THRU,6100,0,5196,PROTECTED
SB_RIGHT,6100,0,5195,PROTECTED
NB_LEFT,5196,1,5195,PERMITTED
NB_THRU,5196,1,6100,PROTECTED
NB_RIGHT,5196,1,3997,PROTECTED
EB_RIGHT,5195,1,5196,STOP_PERMIT
WB_RIGHT,3997,1,6100,STOP_PERMIT
3693,1,4,8,
SB_RIGHT,6100,0,5195,STOP_PERMIT
NB_RIGHT,5196,1,3997,STOP_PERMIT
EB_LEFT,5195,1,6100,PERMITTED
EB_THRU,5195,1,3997,PROTECTED
EB_RIGHT,5195,1,5196,PROTECTED
WB_LEFT,3997,1,5196,PERMITTED
WB_THRU,3997,1,5195,PROTECTED
WB_RIGHT,3997,1,6100,PROTECTED
3693,1,3,2,
EB_LEFT,5195,1,6100,PROTECTED
WB_LEFT,3997,1,5196,PROTECTED
3699,1,2,5,
NB_THRU,6253,1,6112,PROTECTED
NB_RIGHT,6253,1,4019,PROTECTED
SB_LEFT,6112,1,4019,PERMITTED
SB_THRU,6112,1,6253,PROTECTED
EB_RIGHT,4008,0,6253,STOP_PERMIT
3699,1,3,4,
NB_RIGHT,6253,1,4019,STOP_PERMIT
EB_LEFT,4008,0,6112,PROTECTED
EB_THRU,4008,0,4019,PROTECTED
EB_RIGHT,4008,0,6253,PROTECTED
3699,1,1,2,
SB_LEFT,6112,1,4019,PROTECTED
SB_THRU,6112,1,6253,PROTECTED
3700,1,2,5,
SB_THRU,6113,1,6112,PROTECTED
SB_RIGHT,6113,1,4009,PROTECTED
NB_LEFT,6112,0,4009,PERMITTED
NB_THRU,6112,0,6113,PROTECTED
