LINK,DIR,TYPE,LANES,LENGTH,OFFSET
1234,1,LEFT_TURN,1,100.0,0.0
1235,0,LEFT_TURN,1,100.0,0.0
1246,1,LEFT_TURN,1,100.0,0.0
1261,1,LEFT_TURN,1,100.0,0.0
1288,0,LEFT_TURN,1,100.0,0.0
1289,0,LEFT_TURN,1,100.0,0.0
1303,0,LEFT_TURN,1,100.0,0.0
1309,0,LEFT_TURN,1,100.0,0.0
1330,1,RIGHT_TURN,1,100.0,0.0
1334,0,LEFT_TURN,1,100.0,0.0
1336,0,LEFT_TURN,1,100.0,0.0
1364,0,LEFT_TURN,1,100.0,0.0
1365,0,LEFT_TURN,1,100.0,0.0
1366,0,LEFT_TURN,1,100.0,0.0
1375,0,RIGHT_TURN,1,100.0,0.0
1379,0,LEFT_TURN,1,100.0,0.0
1382,0,LEFT_TURN,1,100.0,0.0
1382,0,RIGHT_TURN,1,100.0,0.0
1384,0,LEFT_TURN,1,100.0,0.0
1397,0,LEFT_TURN,1,100.0,0.0
1400,0,LEFT_TURN,1,100.0,0.0
1404,0,RIGHT_TURN,1,100.0,0.0
1411,0,RIGHT_TURN,1,100.0,0.0
1412,0,RIGHT_TURN,1,100.0,0.0
1424,0,LEFT_TURN,1,100.0,0.0
1433,0,LEFT_TURN,1,100.0,0.0
1467,0,LEFT_TURN,1,100.0,0.0
1541,0,LEFT_TURN,1,100.0,0.0
1557,0,LEFT_TURN,1,100.0,0.0
1565,0,LEFT_TURN,1,100.0,0.0
1586,0,LEFT_TURN,1,100.0,0.0
1594,1,LEFT_TURN,1,100.0,0.0
1594,1,RIGHT_TURN,1,100.0,0.0
1628,0,LEFT_TURN,1,100.0,0.0
1637,0,LEFT_TURN,1,100.0,0.0
1650,0,RIGHT_TURN,1,100.0,0.0
1652,0,RIGHT_TURN,1,100.0,0.0
1670,0,LEFT_TURN,1,100.0,0.0
1681,0,LEFT_TURN,1,100.0,0.0
1686,0,LEFT_TURN,1,100.0,0.0
1692,0,LEFT_TURN,1,100.0,0.0
1697,0,LEFT_TURN,1,100.0,0.0
1704,0,LEFT_TURN,1,100.0,0.0
1704,0,RIGHT_TURN,1,100.0,0.0
1709,0,LEFT_TURN,1,100.0,0.0
1714,1,LEFT_TURN,1,100.0,0.0
1716,0,LEFT_TURN,1,100.0,0.0
1716,1,LEFT_TURN,1,100.0,0.0
1719,0,RIGHT_TURN,1,100.0,0.0
1721,0,LEFT_TURN,1,100.0,0.0
1723,1,LEFT_TURN,1,100.0,0.0
1725,1,LEFT_TURN,1,84.6,0.0
1726,1,LEFT_TURN,1,100.0,0.0
1727,1,LEFT_TURN,1,71.4,0.0
1730,0,LEFT_TURN,1,100.0,0.0
1736,1,LEFT_TURN,1,100.0,0.0
1740,0,LEFT_TURN,1,100.0,0.0
1741,0,LEFT_TURN,1,100.0,0.0
1744,1,LEFT_TURN,1,100.0,0.0
1745,0,LEFT_TURN,1,100.0,0.0
1747,1,LEFT_TURN,1,100.0,0.0
1752,0,LEFT_TURN,1,100.0,0.0
1753,1,LEFT_TURN,1,100.0,0.0
1757,0,LEFT_TURN,1,100.0,0.0
1757,0,RIGHT_TURN,1,100.0,0.0
1761,1,LEFT_TURN,1,100.0,0.0
1762,0,RIGHT_MERGE,1,313.2,0.0
1763,0,LEFT_TURN,1,100.0,0.0
1768,0,LEFT_TURN,1,100.0,0.0
1769,0,LEFT_TURN,1,100.0,0.0
1771,1,LEFT_TURN,1,100.0,0.0
1774,0,LEFT_TURN,1,100.0,0.0
1775,1,LEFT_TURN,1,100.0,0.0
1776,0,LEFT_TURN,1,100.0,0.0
1777,0,LEFT_TURN,1,100.0,0.0
1780,0,LEFT_TURN,1,100.0,0.0
1780,1,LEFT_TURN,1,100.0,0.0
1782,1,LEFT_TURN,1,100.0,0.0
1784,1,LEFT_TURN,1,100.0,0.0
1788,1,LEFT_TURN,1,100.0,0.0
1794,1,LEFT_TURN,1,100.0,0.0
1798,0,LEFT_TURN,1,100.0,0.0
1799,0,LEFT_TURN,1,100.0,0.0
1802,0,LEFT_TURN,1,100.0,0.0
1807,1,LEFT_TURN,1,100.0,0.0
1809,0,LEFT_MERGE,1,200.0,0.0
1815,0,LEFT_TURN,1,100.0,0.0
1816,0,LEFT_TURN,1,100.0,0.0
1818,0,LEFT_TURN,1,100.0,0.0
1819,0,LEFT_TURN,1,100.0,0.0
1819,1,LEFT_TURN,1,100.0,0.0
1820,1,LEFT_TURN,1,100.0,0.0
1821,0,LEFT_TURN,1,100.0,0.0
1821,1,LEFT_TURN,1,100.0,0.0
1824,1,LEFT_TURN,1,100.0,0.0
1826,0,LEFT_TURN,1,97.4,0.0
1831,1,LEFT_TURN,1,100.0,0.0
1834,1,LEFT_TURN,1,100.0,0.0
1836,1,LEFT_TURN,1,75.2,0.0
1837,0,RIGHT_TURN,1,100.0,0.0
1838,0,RIGHT_TURN,1,100.0,0.0
1841,1,LEFT_TURN,1,100.0,0.0
1843,1,LEFT_TURN,1,100.0,0.0
1843,1,RIGHT_TURN,1,100.0,0.0
1846,0,LEFT_TURN,1,88.8,0.0
1856,0,RIGHT_TURN,1,100.0,0.0
1863,1,LEFT_TURN,1,100.0,0.0
1867,0,LEFT_TURN,1,100.0,0.0
1869,1,LEFT_TURN,1,100.0,0.0
1872,1,LEFT_TURN,1,100.0,0.0
1879,0,LEFT_TURN,1,100.0,0.0
1888,0,LEFT_TURN,1,100.0,0.0
1889,0,LEFT_MERGE,1,145.0,0.0
1895,0,RIGHT_MERGE,1,90.0,0.0
1908,0,LEFT_TURN,1,100.0,0.0
1911,0,LEFT_TURN,1,100.0,0.0
1923,1,LEFT_TURN,1,100.0,0.0
1927,1,LEFT_TURN,1,100.0,0.0
1928,1,LEFT_TURN,1,100.0,0.0
1929,0,LEFT_TURN,1,100.0,0.0
1929,1,LEFT_TURN,1,100.0,0.0
1959,1,LEFT_TURN,1,100.0,0.0
1961,1,LEFT_TURN,1,100.0,0.0
1965,0,LEFT_TURN,1,40.0,0.0
1969,0,LEFT_TURN,1,100.0,0.0
1969,0,RIGHT_MERGE,1,234.0,0.0
1971,0,LEFT_TURN,1,100.0,0.0
1977,0,LEFT_TURN,1,73.4,0.0
1977,1,LEFT_TURN,1,73.4,0.0
1994,0,LEFT_TURN,1,100.0,0.0
